dt_code,dtname,stname,st_code,year,Zone,,,
26,Kullu,HIMACHAL PRADESH,2,2011_c,Green Zone,,,Akola
25,Lahul & Spiti,HIMACHAL PRADESH,2,2011_c,Green Zone,,,Yavatmal
27,Mandi,HIMACHAL PRADESH,2,2011_c,Green Zone,,,Dhule
33,Shimla,HIMACHAL PRADESH,2,2011_c,Green Zone,,,Buldana
32,Sirmaur,HIMACHAL PRADESH,2,2011_c,Orange Zone,,,Satara
31,Solan,HIMACHAL PRADESH,2,2011_c,Oranse Zone,,,Amravati
29,Una,HIMACHAL PRADESH,2,2011_c,Orange Zone,,,Kolhapur
14,Anantnag,JAMMU & KASHMIR,1,2011_c,Red Zone,,,Latur
2,Badgam,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Jalgaon
9,Bandipore,JAMMU & KASHMIR,1,2011_c,Red Zone,,,Ratnagiri
8,Baramula,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Hingoli
16,Doda,JAMMU & KASHMIR,1,2011_c,Green Zone,,,Nandurbar
11,Ganderbal,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Osmanabad
21,Jammu,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Chandrapur
7,Kathua,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Jalna
18,Kishtwar,JAMMU & KASHMIR,1,2011_c,Green Zone,,,Bid
15,Kulgam,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Gondiya
1,Kupwara,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Nanded
991,Mirpur,JAMMU & KASHMIR,1,2011_c,Green Zone,,,Parbhani
992,Muzaffarabad,JAMMU & KASHMIR,1,2011_c,Green Zone,,,Sindhudurg
12,Pulwama,JAMMU & KASHMIR,1,2011_c,Green Zone,,,Washim
5,Punch,JAMMU & KASHMIR,1,2011_c,Green Zone,,,Imphal West
6,Rajouri,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,East Khasi Hills
17,Ramban,JAMMU & KASHMIR,1,2011_c,Oranse Zone,,,Aizawl
20,Reasi,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Dimapur
22,Samba,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Khordha
13,Shupiyan,JAMMU & KASHMIR,1,2011_c,Red Zone,,,Bhadrak
10,Srinagar,JAMMU & KASHMIR,1,2011_c,Red Zone,,,Jajapur
19,Udhampur,JAMMU & KASHMIR,1,2011_c,Orange Zone,,,Baleshwar
355,Bokaro,JHARKHAND,20,2011_c,Orange Zone,,,Sundargarh
347,Chatra,JHARKHAND,20,2011_c,Green Zone,,,Kalahandi
350,Deoghar,JHARKHAND,20,2011_c,Orange Zone,,,Kendrapara
354,Dhanbad,JHARKHAND,20,2011_c,Orange Zone,,,Cuttack
362,Dumka,JHARKHAND,20,2011_c,Green Zone,,,Dhenkanal
346,Garhwa,JHARKHAND,20,2011_c,Green Zone,,,Puri
349,Giridih,JHARKHAND,20,2011_c,Orange Zone,,,Puducherry
351,Godda,JHARKHAND,20,2011_c,Orange Zone,,,Mahe
366,Gumla,JHARKHAND,20,2011_c,Green Zone,,,Jalandhar
360,Hazaribagh,JHARKHAND,20,2011_c,Green Zone,,,S.A.S. Nagar
363,Jamtara,JHARKHAND,20,2011_c,Orange Zone,,,Patiala
365,Khunti,JHARKHAND,20,2011_c,Orange Zone,,,Pathankot
348,Kodarma,JHARKHAND,20,2011_c,Green Zone,,,Shahid Bhagat Singh Nagar
359,Latehar,JHARKHAND,20,2011_c,Orange Zone,,,Ludhiana
356,Lohardaga,JHARKHAND,20,2011_c,Green Zone,,,Amritsar
353,Pakur,JHARKHAND,20,2011_c,Green Zone,,,Mansa
358,Palamu,JHARKHAND,20,2011_c,Green Zone,,,Hoshiarpur
368,Pashchimi Singhbhum,JHARKHAND,20,2011_c,Green Zone,,,Moga
357,Purbi Singhbhum,JHARKHAND,20,2011_c,Green Zone,,,Faridkot
361,Ramgarh,JHARKHAND,20,2011_c,Red Zone,,,Kapurthala
364,Ranchi,JHARKHAND,20,2011_c,Green Zone,,,Rupnagar
352,Sahibganj,JHARKHAND,20,2011_c,Green Zone,,,Sangrur
369,Saraikela-kharsawan,JHARKHAND,20,2011_c,Orange Zone,,,Barnala
367,Simdega,JHARKHAND,20,2011_c,Green Zone,,,Fatehgarh Sahib
556,Bagalkote,KARNATAKA,29,2011_c,Orange Zone,,,Firozpur
565,Ballari,KARNATAKA,29,2011_c,Orange Zone,,,Gurdaspur
555,Belagavi,KARNATAKA,29,2011_c,Orange Zone,,,Sri Muktsar Sahib
572,Bengaluru,KARNATAKA,29,2011_c,Red Zone,,,Jaipur
583,Bengaluru Rural,KARNATAKA,29,2011_c,Red Zone,,,Jodhpur
558,Bidar,KARNATAKA,29,2011_c,Orange Zone,,,Kota
578,Chamarajanagara,KARNATAKA,29,2011_c,Green Zone,,,Tonk
582,Chikkaballapura,KARNATAKA,29,2011_c,Orange Zone,,,Bharatpur
570,Chikkamagaluru,KARNATAKA,29,2011_c,Green Zone,,,Ajmer
566,Chitradurga,KARNATAKA,29,2011_c,Green Zone,,,Nagaur
575,Dakshina Kannada,KARNATAKA,29,2011_c,Orange Zone,,,Jaisalmer
567,Davanagere,KARNATAKA,29,2011_c,Green Zone,,,Banswara
562,Dharwad,KARNATAKA,29,2011_c,Orange Zone,,,Jhunjhunu
561,Gadag,KARNATAKA,29,2011_c,Orange Zone,,,Bikaner
574,Hassan,KARNATAKA,29,2011_c,Green Zone,,,Bhilwara
564,Haveri,KARNATAKA,29,2011_c,Green Zone,,,Jhalawar
579,Kalaburagi,KARNATAKA,29,2011_c,Orange Zone,,,Dausa
576,Kodagu,KARNATAKA,29,2011_c,Green Zone,,,Churu
581,Kolar,KARNATAKA,29,2011_c,Green Zone,,,Hanumangarh
560,Koppal,KARNATAKA,29,2011_c,Green Zone,,,Sawai Madhopur
573,Mandya,KARNATAKA,29,2011_c,Orange Zone,,,Alwar
577,Mysuru,KARNATAKA,29,2011_c,Red Zone,,,Dungarpur
559,Raichur,KARNATAKA,29,2011_c,Green Zone,,,Sikar
584,Ramanagara,KARNATAKA,29,2011_c,Green Zone,,,Udaipur
568,Shivamogga,KARNATAKA,29,2011_c,Green Zone,,,Karauli
571,Tumakuru,KARNATAKA,29,2011_c,Orange Zone,,,Pali
569,Udupi,KARNATAKA,29,2011_c,Green Zone,,,Barmer
563,Uttara Kannada,KARNATAKA,29,2011_c,Orange Zone,,,Pratapgarh
557,Vijayapura,KARNATAKA,29,2011_c,Orange Zone,,,Dhaulpur
580,Yadgir,KARNATAKA,29,2011_c,Green Zone,,,Chennai
598,Alappuzha,KERALA,32,2011_c,Oranee Zone,,,Coimbatore
595,Ernakulam,KERALA,32,2011_c,Green Zone,,,Tiruppur
596,Idukki,KERALA,32,2011_c,Red Zone,,,Tirunelveli
589,Kannur,KERALA,32,2011_c,Orange Zone,,,Dindigul
588,Kasaragod,KERALA,32,2011_c,Orange Zone,,,Vellore
600,Kollam,KERALA,32,2011_c,Red Zone,,,Erode
597,Kottayam,KERALA,32,2011_c,Orange Zone,,,Kancheepuram
591,Kozhikode,KERALA,32,2011_c,Orange Zone,,,Madurai
592,Malappuram,KERALA,32,2011_c,Orange Zone,,,Namakkal
593,Palakkad,KERALA,32,2011_c,Orange Zone,,,Thanjavur
599,Pathanamthitta,KERALA,32,2011_c,Orange Zone,,,Thiruvallur
601,Thiruvananthapuram,KERALA,32,2011_c,Orange Zone,,,Tiruchirappalli
594,Thrissur,KERALA,32,2011_c,Orange Zone,,,Viluppuram
590,Wayanad,KERALA,32,2011_c,Green Zone,,,Nagapattinam
4,Kargil,LADAKH,38,2011_c,Orange Zone,,,Theni
3,Leh,LADAKH,38,2011_c,Orange Zone,,,Karur
587,Lakshadweep,LAKSHADWEEP,31,2011_c,Green Zone,,,Salem
724,Agar Malwa,MADHYA PRADESH,23,update2014,Orange Zone,,,Thiruvarur
465,Alirajpur,MADHYA PRADESH,23,2011_c,Orange Zone,,,Thoothukkudi
461,Anuppur,MADHYA PRADESH,23,2011_c,Green Zone,,,Cuddalore
459,Ashoknagar,MADHYA PRADESH,23,2011_c,Green Zone,,,Virudhunagar
457,Balaghat,MADHYA PRADESH,23,2011_c,Green Zone,,,Kanniyakumari
441,Barwani,MADHYA PRADESH,23,2011_c,Red Zone,,,Ramanathapuram
447,Betul,MADHYA PRADESH,23,2011_c,Orange Zone,,,Tiruvannamalai
420,Bhind,MADHYA PRADESH,23,2011_c,Green Zone,,,Sivaganga
444,Bhopal,MADHYA PRADESH,23,2011_c,Red Zone,,,The Nilgiris
467,Burhanpur,MADHYA PRADESH,23,2011_c,Orange Zone,,,Ariyalur
425,Chhatarpur,MADHYA PRADESH,23,2011_c,Green Zone,,,Perambalur
455,Chhindwara,MADHYA PRADESH,23,2011_c,Orange Zone,,,Dharmapuri
428,Damoh,MADHYA PRADESH,23,2011_c,Green Zone,,,Pudukkottai
422,Datia,MADHYA PRADESH,23,2011_c,Green Zone,,,Hyderabad
437,Dewas,MADHYA PRADESH,23,2011_c,Red Zone,,,Suryapet
438,Dhar,MADHYA PRADESH,23,2011_c,Red Zone,,,Nizamabad
453,Dindori,MADHYA PRADESH,23,2011_c,Orange Zone,,,Jogulamba Gadwal
466,East Nimar,MADHYA PRADESH,23,2011_c,Red Zone,,,Vikarabad
458,Guna,MADHYA PRADESH,23,2011_c,Green Zone,,,Ranga Reddy
421,Gwalior,MADHYA PRADESH,23,2011_c,Red Zone,,,Warangal Urban
448,Harda,MADHYA PRADESH,23,2011_c,Orange Zone,,,Medchal Malkajgiri
449,Hoshangabad,MADHYA PRADESH,23,2011_c,Orange Zone,,,Karimnagar
439,Indore,MADHYA PRADESH,23,2011_c,Green Zone,,,Adilabad
451,Jabalpur,MADHYA PRADESH,23,2011_c,Red Zone,,,Nirmal
464,Jhabua,MADHYA PRADESH,23,2011_c,Green Zone,,,Nalgonda
450,Katni,MADHYA PRADESH,23,2011_c,Orange Zone,,,Kamareddy
454,Mandla,MADHYA PRADESH,23,2011_c,Red Zone,,,Mahabubnagar
433,Mandsaur,MADHYA PRADESH,23,2011_c,Green Zone,,,Khammam
419,Morena,MADHYA PRADESH,23,2011_c,Orange Zone,,,Sangareddy
452,Narsimhapur,MADHYA PRADESH,23,2011_c,Oranse Zone,,,Medak
432,Neemuch,MADHYA PRADESH,23,2011_c,Green Zone,,,Bhadradri Kothagudem
782,Niwari,MADHYA PRADESH,23,2018,Green Zone,,,Kumuram Bheem Asifabad
426,Panna,MADHYA PRADESH,23,2011_c,Green Zone,,,Jagitial
446,Raisen,MADHYA PRADESH,23,2011_c,Green Zone,,,Jangoan
442,Rajgarh,MADHYA PRADESH,23,2011_c,Orange Zone,,,Jayashankar
434,Ratlam,MADHYA PRADESH,23,2011_c,Green Zone,,,Mulugu
430,Rewa,MADHYA PRADESH,23,2011_c,Orange Zone,,,Nagarkurnool
427,Sagar,MADHYA PRADESH,23,2011_c,Green Zone,,,Peddapalli
429,Satna,MADHYA PRADESH,23,2011_c,Orange Zone,,,Rajanna Sircilla
445,Sehore,MADHYA PRADESH,23,2011_c,Green Zone,,,Mahabubabad
